endTime,artistName,trackName,msPlayed
2021-02-23 16:52,DAVICHI,I Miss You,14053
2021-02-23 16:52,Roy Kim,The Hardest Part,14423
2021-02-23 16:53,Roy Kim,Only Then - Inst. with Chorus,17767
2021-02-23 16:53,Roy Kim,No Longer Mine,8533
2021-02-23 16:54,Henry,It's You,80880
2021-02-23 17:14,DAY6 (Even of Day),Where the sea sleeps,1556
2021-02-23 17:14,Priscilla Ahn,Fine On The Outside,6467
2021-02-23 17:19,BTS,Blue & Grey,254950
2021-02-23 17:22,Gatton,They Just Exist,176287
2021-02-23 17:25,Conan Gray,Heather,198021
2021-02-23 17:27,The Rose,She's In The Rain,86588
2021-02-23 17:29,Kamryn Freeman,embrace,139356
2021-02-23 17:30,Kamryn Freeman,embrace,63346
2021-02-23 17:34,Indecent Sound,Above The Sky,190637
2021-02-23 17:36,Samira Tesfay,Yearning,144500
2021-02-23 17:40,Úrkoma,Tranquility,217990
2021-02-23 17:43,Sanja Göransson,Barndomsminnen,189000
2021-02-23 17:46,Lori Dulac,circumspect,189244
2021-02-23 17:48,Rosa Løvstrøm,Somnium,132764
2021-02-24 01:06,Roy Kim,Only Then,58380
2021-02-24 03:59,BTS,Inner Child,233265
2021-02-24 04:00,Conan Gray,The King,1198
2021-02-24 05:18,Conan Gray,The King,153553
2021-02-24 05:23,Minnie Delarosa,Lie With Me,185449
2021-02-24 05:27,Crystal Fragments,Water Jewel,235392
2021-02-24 05:30,Cora Zea,Moving Like the Mountain,175389
2021-02-24 05:33,Judi Khan,Večeras,182568
2021-02-24 05:36,Keira Barton,Buoyant,184079
2021-02-24 05:39,Scintillante,Notte,198898
2021-02-24 05:42,Charmaine D'Avis,Rêvasseur,192444
2021-02-24 05:45,Milo Graves,Letting Go,150694
2021-02-24 05:47,Leah Day,Snowdonia,168817
2021-02-24 05:49,NREM,Mind Tranquility,102600
2021-02-24 05:54,Taylor Swift,willow,214693
2021-02-24 05:58,Taylor Swift,exile (feat. Bon Iver),285634
2021-02-24 06:03,Taylor Swift,evermore (feat. Bon Iver),304089
2021-02-24 06:08,Taylor Swift,tolerate it,245436
2021-02-24 06:12,Taylor Swift,‘tis the damn season,229832
2021-02-24 06:15,Taylor Swift,You Need To Calm Down,171318
2021-02-24 06:18,Taylor Swift,gold rush,185320
2021-02-24 06:22,Taylor Swift,Blank Space,231826
2021-02-24 06:23,Taylor Swift,ivy,77859
2021-02-24 06:28,Taylor Swift,Love Story (Taylor’s Version),212440
2021-02-24 06:30,Lucas Delphy,In This Moment,158666
2021-02-24 06:34,Harvest Silence,Saving Daylight,206798
2021-02-24 06:36,Helios,Seeming,155853
2021-02-24 06:39,Jacob Yoffee,Will to Live,135791
2021-02-24 06:45,City of the Sun,Someday,288021
2021-02-24 06:49,Rand Aldo,Breathing Like the Pastures,221177
